事業所コード,事業所名,在庫区分,在庫区分名,倉庫コード,倉庫名,在庫場所コード,在庫場所名,会計年月,棚番,棚番名,資産分類,資産分類名,資産分類区分,資産分類区分名,品種,品種名,商品コード,商品名,規格,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特注区分,内訳商品ランク,内訳商品ランク名,単位,個別原価使用フラグ,ロット番号,有効期限,基準日,残月数,前月末原価調整額,前月末評価単価,前月末在庫数,前月末移動積送数,前月末出荷積送数,前月末在庫金額,仕入数,売上数,有償支給数,入庫数,出庫数,移動積送増減数,出荷積送増減数,棚卸調整数,当月末移動積送数,当月末出荷積送数,当月末評価単価,当月末在庫数,当月末原価調整額,当月末在庫金額
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005BED-113,社内ﾓｰﾙﾄﾞ,005BED-113,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,17.38,21,0,0,365,0,0,0,0,0,0,0,0,0,0,900,21,0,18900
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D795-10,社内ﾓｰﾙﾄﾞ,005D795-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,5971.43,5,0,0,29857,0,0,0,0,0,0,0,0,0,0,6700,5,0,33500
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D795N-10,社内ﾓｰﾙﾄﾞ,005D795N-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,4912.64,18,0,0,88428,0,0,0,27,24,0,0,0,0,0,6700,21,0,140700
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D975-10 ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005D975-10 ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,3569.24,19,0,0,67816,0,0,0,0,10,0,0,0,0,0,4700,9,0,42300
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL003-5,社内ﾓｰﾙﾄﾞ,005EL003-5,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL003-6,社内ﾓｰﾙﾄﾞ,005EL003-6,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,945,12,0,0,11340,0,0,0,0,8,0,0,0,0,0,2100,4,0,8400
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL025-D ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005EL025-D ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,29960.72,1,0,0,29961,0,0,0,0,0,0,0,0,0,0,29960.72,1,0,29961
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030-ｾ,社内ﾓｰﾙﾄﾞ,005EL030-ｾ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,104.36,31,0,0,3235,0,0,0,19,13.4,0,0,0,0,0,2400,36.6,0,87840
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030-ﾋｼﾞ,社内ﾓｰﾙﾄﾞ,005EL030-ﾋｼﾞ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,4457.97,23,0,0,102533,0,0,0,0,1,0,0,0,0,0,7600,22,0,167200
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-01ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-01ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,10450,1,0,0,10450,0,0,0,0,0,0,0,0,0,0,20900,1,0,20900
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-20ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-20ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,21688.2,3,0,0,65065,0,0,0,0,0,0,0,0,0,0,30700,3,0,92100
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-30ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-30ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,20546,2,0,0,41092,0,0,0,4,1,0,0,0,0,0,32900,5,0,164500
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-40ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-40ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,26877.34,0,0,0,0,0,0,0,5,0,0,0,0,0,0,35900,5,0,179500
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-49ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-49ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,26225.8,4,0,0,104903,0,0,0,0,0,0,0,0,0,0,35900,4,0,143600
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-50ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-50ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,27837.45,9,0,0,250537,0,0,0,0,0,0,0,0,0,0,35900,9,0,323100
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL130A-10,社内ﾓｰﾙﾄﾞ,005EL130A-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,5265.55,1,0,0,5266,0,0,0,0,0,0,0,0,0,0,5800,1,0,5800
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL140-01,EL140-01,EL140-01,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,1522,124,0,0,188728,0,0,0,0,0,0,0,0,0,0,1522,124,0,188728
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-10,社内ﾓｰﾙﾄﾞ,005H287-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,1882.5,23,0,0,43298,0,0,0,2,23,0,0,0,0,0,5500,2,0,11000
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-13,社内ﾓｰﾙﾄﾞ,005H287-13,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,591.87,2,0,0,1184,0,0,0,21,8,0,0,0,0,0,800,15,0,12000
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-14,社内ﾓｰﾙﾄﾞ,005H287-14,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,603.19,8,0,0,4826,0,0,0,22,6,0,0,0,0,0,800,24,0,19200
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-17,社内ﾓｰﾙﾄﾞ,005H287-17,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,1328.1,15,0,0,19922,0,0,0,0,1,0,0,0,0,0,3100,14,0,43400
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-25,社内ﾓｰﾙﾄﾞ,005H287-25,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,5208,1,0,0,5208,0,0,0,4,3,0,0,0,0,0,10800,2,0,21600
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-60,社内ﾓｰﾙﾄﾞ,005H287-60,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,5223,2,0,0,10446,0,0,0,0,1,0,0,0,0,0,7200,1,0,7200
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005LPP-600,社内ﾓｰﾙﾄﾞ,005LPP-600,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,3.52,630,0,0,2218,0,0,0,0,215,0,0,0,0,0,722,415,0,299630
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005LPP-900,社内ﾓｰﾙﾄﾞ,005LPP-900,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,8.96,27,0,0,242,0,0,0,0,7,0,0,0,0,0,1005,20,0,20100
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005N235-ｻﾞS,社内ﾓｰﾙﾄﾞ,005N235-ｻﾞS,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,168.75,2,0,0,338,0,0,0,0,0,0,0,0,0,0,2700,2,0,5400
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005P107-01ｻﾞ,社内ﾓｰﾙﾄﾞ,005P107-01ｻﾞ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,2160,4,0,0,8640,0,0,0,0,0,0,0,0,0,0,10800,4,0,43200
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005P107-01ｾ,社内ﾓｰﾙﾄﾞ,005P107-01ｾ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,300,1,0,0,300,0,0,0,0,0,0,0,0,0,0,600,1,0,600
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005P107-ﾋｼﾞ,社内ﾓｰﾙﾄﾞ,005P107-ﾋｼﾞ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,260,4,0,0,1040,0,0,0,0,0,0,0,0,0,0,1300,4,0,5200
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202009,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005P231-01ｻﾞ ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005P231-01ｻﾞ ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,1601.18,14,0,0,22417,0,0,0,0,1,0,0,0,0,0,2400,13,0,31200
