事業所コード,事業所名,在庫区分,在庫区分名,倉庫コード,倉庫名,在庫場所コード,在庫場所名,会計年月,棚番,棚番名,資産分類,資産分類名,資産分類区分,資産分類区分名,品種,品種名,商品コード,商品名,規格,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特注区分,内訳商品ランク,内訳商品ランク名,単位,個別原価使用フラグ,ロット番号,有効期限,基準日,残月数,前月末原価調整額,前月末評価単価,前月末在庫数,前月末移動積送数,前月末出荷積送数,前月末在庫金額,仕入数,売上数,有償支給数,入庫数,出庫数,移動積送増減数,出荷積送増減数,棚卸調整数,当月末移動積送数,当月末出荷積送数,当月末評価単価,当月末在庫数,当月末原価調整額,当月末在庫金額
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005BED-113,社内ﾓｰﾙﾄﾞ,005BED-113,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,69.23,12,0,0,831,0,0,0,0,5.3,0,0,0,0,0,69.23,6.7,0,464
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D795-10,社内ﾓｰﾙﾄﾞ,005D795-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,5971.43,5,0,0,29857,0,0,0,0,0,0,0,0,0,0,5971.43,5,0,29857
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D795N-10,社内ﾓｰﾙﾄﾞ,005D795N-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,4940.04,19,0,0,93861,0,0,0,0,6,0,0,0,0,0,4940.04,13,0,64221
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D975-10 ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005D975-10 ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,3630.09,29,0,0,105273,0,0,0,0,7,0,0,0,0,0,3630.09,22,0,79862
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL003-6,社内ﾓｰﾙﾄﾞ,005EL003-6,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,2100,11,0,0,23100,0,0,0,0,2,0,0,0,0,0,2100,9,0,18900
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL025-B ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005EL025-B ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,2598,1,0,0,2598,0,0,0,0,1,0,0,0,0,0,2598,0,0,0
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL025-C ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005EL025-C ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,20288,1,0,0,20288,0,0,0,0,1,0,0,0,0,0,20288,0,0,0
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL025-D ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005EL025-D ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,29960.72,1,0,0,29961,0,0,0,0,0,0,0,0,0,0,29960.72,1,0,29961
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL025-G ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005EL025-G ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,15655,1,0,0,15655,0,0,0,0,1,0,0,0,0,0,15655,0,0,0
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030-ｾ,社内ﾓｰﾙﾄﾞ,005EL030-ｾ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,325.4,42.8,0,0,13927,0,0,0,0,13.1,0,0,0,0,0,325.4,29.7,0,9664
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030-ﾋｼﾞ,社内ﾓｰﾙﾄﾞ,005EL030-ﾋｼﾞ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,4560.42,17,0,0,77527,0,0,0,13,2,0,0,0,0,0,4457.97,28,0,124823
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-01ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-01ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,10450,1,0,0,10450,0,0,0,0,0,0,0,0,0,0,10450,1,0,10450
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-20ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-20ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,21688.2,3,0,0,65065,0,0,0,0,0,0,0,0,0,0,21688.2,3,0,65065
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-30ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-30ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,20546,3,0,0,61638,0,0,0,0,0,0,0,0,0,0,20546,3,0,61638
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-40ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-40ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,26877.34,3,0,0,80632,0,0,0,0,1,0,0,0,0,0,26877.34,2,0,53755
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-49ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-49ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,28986,2,0,0,57972,0,0,0,0,1,0,0,0,0,0,28986,1,0,28986
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-50ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-50ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,30714.5,4,0,0,122858,0,0,0,0,0,0,0,0,0,0,30714.5,4,0,122858
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL130A-10,社内ﾓｰﾙﾄﾞ,005EL130A-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,5800,4,0,0,23200,0,0,0,16,4,0,0,0,0,0,5265.55,16,0,84249
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL140-01,EL140-01,EL140-01,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,1522,124,0,0,188728,0,0,0,0,0,0,0,0,0,0,1522,124,0,188728
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-10,社内ﾓｰﾙﾄﾞ,005H287-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,2497.42,20,0,0,49948,0,0,0,14,19,0,0,0,0,0,2229.15,15,0,33437
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-13,社内ﾓｰﾙﾄﾞ,005H287-13,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,591.87,19,0,0,11246,0,0,0,0,4,0,0,0,0,0,591.87,15,0,8878
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-14,社内ﾓｰﾙﾄﾞ,005H287-14,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,603.19,23,0,0,13873,0,0,0,0,4,0,0,0,0,0,603.19,19,0,11461
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-17,社内ﾓｰﾙﾄﾞ,005H287-17,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,2828.5,4,0,0,11314,0,0,0,0,0,0,0,0,0,0,2828.5,4,0,11314
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-25,社内ﾓｰﾙﾄﾞ,005H287-25,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,6006.8,2,0,0,12014,0,0,0,4,2,0,0,0,0,0,5208,4,0,20832
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005H287-60,社内ﾓｰﾙﾄﾞ,005H287-60,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,5223,4,0,0,20892,0,0,0,0,2,0,0,0,0,0,5223,2,0,10446
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005LPP-600,社内ﾓｰﾙﾄﾞ,005LPP-600,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,58.63,82,0,0,4808,0,0,0,123,59,0,0,0,0,0,23.45,146,0,3424
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005LPP-900,社内ﾓｰﾙﾄﾞ,005LPP-900,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,24.51,21,0,0,515,0,0,0,0,2,0,0,0,0,0,24.51,19,0,466
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005N235-ｻﾞS,社内ﾓｰﾙﾄﾞ,005N235-ｻﾞS,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,450,3,0,0,1350,0,0,0,5,3,0,0,0,0,0,168.75,5,0,844
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005P107-01ｻﾞ,社内ﾓｰﾙﾄﾞ,005P107-01ｻﾞ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,2160,4,0,0,8640,0,0,0,0,0,0,0,0,0,0,2160,4,0,8640
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005P107-01ｾ,社内ﾓｰﾙﾄﾞ,005P107-01ｾ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,300,1,0,0,300,0,0,0,0,0,0,0,0,0,0,300,1,0,300
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005P107-ﾋｼﾞ,社内ﾓｰﾙﾄﾞ,005P107-ﾋｼﾞ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,260,4,0,0,1040,0,0,0,0,0,0,0,0,0,0,260,4,0,1040
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202006,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005P231-01ｻﾞ ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005P231-01ｻﾞ ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,1769.35,11,0,0,19463,0,0,0,11,3,0,0,0,0,0,1601.18,19,0,30422
