事業所コード,事業所名,在庫区分,在庫区分名,倉庫コード,倉庫名,在庫場所コード,在庫場所名,会計年月,棚番,棚番名,資産分類,資産分類名,資産分類区分,資産分類区分名,品種,品種名,商品コード,商品名,規格,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特注区分,内訳商品ランク,内訳商品ランク名,単位,個別原価使用フラグ,ロット番号,有効期限,基準日,残月数,前月末原価調整額,前月末評価単価,前月末在庫数,前月末移動積送数,前月末出荷積送数,前月末在庫金額,仕入数,売上数,有償支給数,入庫数,出庫数,移動積送増減数,出荷積送増減数,棚卸調整数,当月末移動積送数,当月末出荷積送数,当月末評価単価,当月末在庫数,当月末原価調整額,当月末在庫金額
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005BED-113,社内ﾓｰﾙﾄﾞ,005BED-113,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,900,21,0,0,18900,0,0,0,0,0,0,0,0,0,0,900,21,0,18900
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D795-10,社内ﾓｰﾙﾄﾞ,005D795-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,6700,5,0,0,33500,0,0,0,0,0,0,0,0,0,0,6700,5,0,33500
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D795N-10,社内ﾓｰﾙﾄﾞ,005D795N-10,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,6700,20,0,0,134000,0,0,0,0,2,0,0,0,0,0,6700,18,0,120600
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005D975-10 ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005D975-10 ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,4700,24,0,0,112800,0,0,0,0,6,0,0,0,0,0,4700,18,0,84600
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL003-5,社内ﾓｰﾙﾄﾞ,005EL003-5,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL003-6,社内ﾓｰﾙﾄﾞ,005EL003-6,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,2100,4,0,0,8400,0,0,0,10,0,0,0,0,0,0,2100,14,0,29400
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL025-D ｼｬﾅｲ,社内ﾓｰﾙﾄﾞ,005EL025-D ｼｬﾅｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,29960.72,1,0,0,29961,0,0,0,0,0,0,0,0,0,0,29960.72,1,0,29961
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030-ｾ,社内ﾓｰﾙﾄﾞ,005EL030-ｾ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,2400,43.7,0,0,104880,0,0,0,12,11.5,0,0,0,0,0,2400,44.2,0,106080
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030-ﾋｼﾞ,社内ﾓｰﾙﾄﾞ,005EL030-ﾋｼﾞ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,7600,19,0,0,144400,0,0,0,0,7,0,0,0,0,0,7600,12,0,91200
100,日本フクラ,10,社内品,A0Z001,自倉庫,,,202011,,,2,半製品・仕掛品,3,仕掛品,1005,モールド,005EL030N-01ﾎﾝﾀｲ,社内ﾓｰﾙﾄﾞ,005EL030N-01ﾎﾝﾀｲ,,,,,,,,,0,A,ﾋﾟｰｽ,,,,2021/03/17,,0,20900,1,0,0,20900,0,0,0,0,0,0,0,0,0,0,20900,1,0,20900
