117,2019-05-08,H207512,Vessel,NAGOYA Port,The address listed above,2019-06-15,To Fujikoshi NAGOYA Direct,2019-07-03
123,2019-05-14,H207513,Vessel,Nagoya Port,The address listed above,2019-06-22,To Hukla Japan/Nanno ,2019-07-03
124,2019-05-14,H207514,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-05-22,For Hukla Japan/Nanno Fac.,
125,2019-05-21,H207515,Vessel,Nagoya Port,The address listed above,2019-05-02,To Hukla Japan/Nanno ,
126,2019-05-21,H207516,Vessel,Nagoya Port,The address listed above,2019-05-21,To Hukla Japan/Nanno ,
127,2019-05-21,H207517,Vessel,Nagoya Port,The address listed above,2019-06-29,To Hukla Japan/Nanno ,2019-07-10
128,2019-05-23,H207518,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-06-14,For Hukla Japan/Nanno Fac.,
129,2019-05-23,H207519,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-05-31,For Hukla Japan/Nanno Fac.,
131,2019-05-28,H207520,Vessel,HAKATA Port,The address listed above,2019-07-06,for f-grip Direct,
132,2019-05-28,H207521,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-06-12,For Hukla Japan/Nanno Fac.,
138,2019-05-29,H207522,Vessel,Nagoya Port,The address listed above,2019-07-13,To Hukla Japan/Nanno ,2019-07-24
139,2019-06-04,H207523,Vessel,Nagoya Port,The address listed above,2019-07-13,To Hukla Japan/Nanno ,2019-07-29
140,2019-06-06,H207524,Vessel,HAKATA Port,The address listed above,2019-07-13,To NIC Hakata Direct,
142,2019-06-06,H207525,Vessel,HAKATA Port,The address listed above,2019-07-20,for f-grip Direct,2019-08-02
143,2019-06-06,H207526,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-06-20,For Hukla Japan/Nanno Fac.,
